_id,Win_As_Crew,Win_As_Imposter,Win_Rate
Memes,,,57.692307692307686
Whyin,,,0
AshlenRose,,,62.5
Ben P,,,71.42857142857143
Ian,,,66.11570247933885
Kyle,,,68.42105263157895
TomM,,,71.1864406779661
Rafon,,,75
Andrew,,,58.620689655172406
DoubleFried,,,56.79012345679012
ScaldingHotSoup,,,86.66666666666667
Saku,,,42.857142857142854
GrahamLRR,,,40
Stunlock,,,45.45454545454545
Emily,,,47.368421052631575
Stranjak,,,66.66666666666666
Nairbly,,,72.97297297297297
coco,,,45.45454545454545
julie,,,100
DuckMyInt,,,50
Dix,,,76.47058823529412
Nate,,,50
samie,,,33.33333333333333
nucleosynth,,,66.66666666666666
Platypus,,,51.02040816326531
AbeyBaby,,,50
Pojo,,,58.119658119658126
Nick,,,46.51162790697674
Keaton,,,61.97183098591549
SamSherman,,,0
Eric,,,41.37931034482759
jorbs,,,63.23529411764706
GGards,,,80
Aberdasher,,,75
Ambiance,,,57.14285714285714
DaveWilliams,,,39.130434782608695
honk,,,50.847457627118644
rettoto,,,0
Eirik,,,63.63636363636363
LSV,,,59.285714285714285
JohnnyCatz,,,20
bsweitz,,,59.61538461538461
Squirrel_Loot,,,80
Ahamkara,,,61.963190184049076
dokomoy,,,58.986175115207374
zlubars,,,52.980132450331126
CoolJets,,,53.96825396825397
Mullibok,,,40
Zyla,,,73.33333333333333
Seven,,,55.55555555555556
Wolf,,,50
Seabats,,,34.61538461538461
Zhoola,,,61.97183098591549
LadyAtarka,,,51.48514851485149
Iroknight,,,70
niphette,,,40
LeeSharpe,,,66.66666666666666
Murklurker,,,25
Rada,,,62.16216216216216
MurkLurker,,,0
Skadj,,,50
Bonde,,,50
TomRoss,,,50
ZJ,,,100
BK,,,64.44444444444444
sponsz,,,50
Gaby,,,50.70422535211267
Dreamy,,,52.5
Bim,,,40
dcsports8,,,56.52173913043478
TheAsianAvenger,,,30.76923076923077
BradNelson,,,37.5
Barnabus,,,63.74999999999999
BennyB,,,48.113207547169814
synthe,,,100
Adrien,,,50
Chosaucer,,,68.59504132231406
CALC,,,100
Corey,,,53.84615384615385
Jason,,,46.666666666666664
Bloody,,,58.91472868217055
Oltanya,,,63.63636363636363
wrapter,,,62.745098039215684
LegenVD,,,30.76923076923077
Kibler,,,60
Toffel,,,45.45454545454545
hafu,,,60
Pheylop,,,68.47826086956522
HGRose,,,55.10204081632652
Isaac,,,100
Scott,,,59.25925925925925
BRazz,,,59.64912280701754
Sam,,,54.166666666666664
Trotske,,,57.14285714285714
flutter,,,80
Riley,,,37.5
Bene,,,66.66666666666666
Ryuu,,,50
Voxy,,,45.45454545454545
5up,,,82.35294117647058
Fader,,,53.70370370370371
FoxBox,,,68.75
yoinkster,,,43.75
PANCAKE,,,50
SwayingRug,,,0
Colossus,,,66.66666666666666
Mani,,,64.74820143884892
DBatterskull,,,50.45045045045045
